Admin1Name,PeriodStartDate,PeriodEndDate,CountValue
WISCONSIN,1/3/1943,1/9/1943,303
WISCONSIN,1/10/1943,1/16/1943,437
WISCONSIN,1/17/1943,1/23/1943,434
WISCONSIN,1/24/1943,1/30/1943,449
WISCONSIN,1/31/1943,2/6/1943,641
WISCONSIN,2/7/1943,2/13/1943,616
WISCONSIN,2/14/1943,2/20/1943,946
WISCONSIN,2/21/1943,2/27/1943,834
WISCONSIN,2/28/1943,3/6/1943,958
WISCONSIN,3/7/1943,3/13/1943,1053
WISCONSIN,3/14/1943,3/20/1943,1131
WISCONSIN,3/21/1943,3/27/1943,1260
WISCONSIN,3/28/1943,4/3/1943,1563
WISCONSIN,4/4/1943,4/10/1943,1627
WISCONSIN,4/11/1943,4/17/1943,2277
WISCONSIN,4/18/1943,4/24/1943,1620
WISCONSIN,4/25/1943,5/1/1943,1703
WISCONSIN,5/2/1943,5/8/1943,1854
WISCONSIN,5/9/1943,5/15/1943,2320
WISCONSIN,5/16/1943,5/22/1943,2319
WISCONSIN,5/23/1943,5/29/1943,2374
WISCONSIN,6/6/1943,6/12/1943,2497
WISCONSIN,6/13/1943,6/19/1943,2070
WISCONSIN,6/20/1943,6/26/1943,1665
WISCONSIN,6/27/1943,7/3/1943,1245
WISCONSIN,7/4/1943,7/10/1943,942
WISCONSIN,7/11/1943,7/17/1943,593
WISCONSIN,7/25/1943,7/31/1943,323
WISCONSIN,8/1/1943,8/7/1943,239
WISCONSIN,8/8/1943,8/14/1943,240
WISCONSIN,8/15/1943,8/21/1943,203
WISCONSIN,8/22/1943,8/28/1943,114
WISCONSIN,8/29/1943,9/4/1943,93
WISCONSIN,9/5/1943,9/11/1943,90
WISCONSIN,9/19/1943,9/25/1943,82
WISCONSIN,9/26/1943,10/2/1943,99
WISCONSIN,10/3/1943,10/9/1943,148
WISCONSIN,10/10/1943,10/16/1943,195
WISCONSIN,10/17/1943,10/23/1943,250
WISCONSIN,10/24/1943,10/30/1943,390
WISCONSIN,10/31/1943,11/6/1943,334
WISCONSIN,11/7/1943,11/13/1943,404
WISCONSIN,11/14/1943,11/20/1943,329
WISCONSIN,11/28/1943,12/4/1943,326
WISCONSIN,12/5/1943,12/11/1943,482
WISCONSIN,12/19/1943,12/25/1943,455
WISCONSIN,12/26/1943,1/1/1944,419
WISCONSIN,1/9/1944,1/15/1944,947
WISCONSIN,1/16/1944,1/22/1944,760
WISCONSIN,1/23/1944,1/29/1944,1099
WISCONSIN,1/30/1944,2/5/1944,1320
WISCONSIN,2/13/1944,2/19/1944,1810
WISCONSIN,2/20/1944,2/26/1944,1690
WISCONSIN,2/27/1944,3/4/1944,1683
WISCONSIN,3/5/1944,3/11/1944,1919
WISCONSIN,3/12/1944,3/18/1944,1701
WISCONSIN,3/19/1944,3/25/1944,2316
WISCONSIN,3/26/1944,4/1/1944,2737
WISCONSIN,4/2/1944,4/8/1944,2541
WISCONSIN,4/9/1944,4/15/1944,2758
WISCONSIN,4/16/1944,4/22/1944,2821
WISCONSIN,4/30/1944,5/6/1944,2293
WISCONSIN,5/7/1944,5/13/1944,2687
WISCONSIN,5/14/1944,5/20/1944,2271
WISCONSIN,5/21/1944,5/27/1944,2122
WISCONSIN,5/28/1944,6/3/1944,1582
WISCONSIN,6/4/1944,6/10/1944,1431
WISCONSIN,6/11/1944,6/17/1944,1136
WISCONSIN,6/18/1944,6/24/1944,823
WISCONSIN,6/25/1944,7/1/1944,644
WISCONSIN,7/2/1944,7/8/1944,461
WISCONSIN,7/9/1944,7/15/1944,235
WISCONSIN,7/16/1944,7/22/1944,168
WISCONSIN,7/23/1944,7/29/1944,150
WISCONSIN,7/30/1944,8/5/1944,101
WISCONSIN,8/6/1944,8/12/1944,144
WISCONSIN,8/13/1944,8/19/1944,136
WISCONSIN,8/20/1944,8/26/1944,51
WISCONSIN,8/27/1944,9/2/1944,113
WISCONSIN,9/3/1944,9/9/1944,27
WISCONSIN,9/10/1944,9/16/1944,30
WISCONSIN,9/17/1944,9/23/1944,21
WISCONSIN,9/24/1944,9/30/1944,40
WISCONSIN,10/1/1944,10/7/1944,58
WISCONSIN,10/8/1944,10/14/1944,43
WISCONSIN,10/15/1944,10/21/1944,11
WISCONSIN,10/22/1944,10/28/1944,15
WISCONSIN,10/29/1944,11/4/1944,11
WISCONSIN,11/5/1944,11/11/1944,14
WISCONSIN,11/12/1944,11/18/1944,9
WISCONSIN,11/19/1944,11/25/1944,15
WISCONSIN,12/3/1944,12/9/1944,17
WISCONSIN,12/10/1944,12/16/1944,0
WISCONSIN,12/17/1944,12/23/1944,13
WISCONSIN,12/24/1944,12/30/1944,17
WISCONSIN,12/31/1944,1/6/1945,33
WISCONSIN,1/7/1945,1/13/1945,33
WISCONSIN,1/14/1945,1/20/1945,23
WISCONSIN,1/21/1945,1/27/1945,37
WISCONSIN,1/28/1945,2/3/1945,28
WISCONSIN,2/4/1945,2/10/1945,38
WISCONSIN,2/11/1945,2/17/1945,27
WISCONSIN,2/18/1945,2/24/1945,38
WISCONSIN,2/25/1945,3/3/1945,33
WISCONSIN,3/4/1945,3/10/1945,41
WISCONSIN,3/11/1945,3/17/1945,33
WISCONSIN,3/18/1945,3/24/1945,28
WISCONSIN,3/25/1945,3/31/1945,42
WISCONSIN,4/1/1945,4/7/1945,42
WISCONSIN,4/8/1945,4/14/1945,52
WISCONSIN,4/15/1945,4/21/1945,48
WISCONSIN,4/22/1945,4/28/1945,70
WISCONSIN,4/29/1945,5/5/1945,83
WISCONSIN,5/6/1945,5/12/1945,63
WISCONSIN,5/13/1945,5/19/1945,53
WISCONSIN,5/20/1945,5/26/1945,73
WISCONSIN,5/27/1945,6/2/1945,119
WISCONSIN,6/3/1945,6/9/1945,155
WISCONSIN,6/10/1945,6/16/1945,66
WISCONSIN,6/17/1945,6/23/1945,100
WISCONSIN,6/24/1945,6/30/1945,93
WISCONSIN,7/1/1945,7/7/1945,69
WISCONSIN,7/8/1945,7/14/1945,61
WISCONSIN,7/22/1945,7/28/1945,42
WISCONSIN,7/29/1945,8/4/1945,43
WISCONSIN,8/5/1945,8/11/1945,35
WISCONSIN,8/12/1945,8/18/1945,35
WISCONSIN,8/19/1945,8/25/1945,83
WISCONSIN,8/26/1945,9/1/1945,17
WISCONSIN,9/2/1945,9/8/1945,20
WISCONSIN,9/9/1945,9/15/1945,19
WISCONSIN,9/16/1945,9/22/1945,20
